q_0.0001 q_0.1 q_0.3 q_0.5 q_0.9
Inf 1442 2410 2758 3932
Inf 1434 2458 2908 4718
778 Inf 2200 2764 2872
Inf 1294 Inf 3222 2490
700 Inf 1952 2522 3004
Inf 1378 2120 2376 3406
Inf 1186 2732 Inf 3438
Inf 1462 2376 2848 4128
Inf 1644 2008 Inf 3450
Inf 1330 2432 2818 3336
Inf 1524 1656 2318 2882
Inf 1464 1816 2902 Inf
708 1442 2690 2598 2572
822 Inf 2152 2556 2616
820 Inf Inf 2560 4060
Inf Inf 2136 2566 3284
Inf 1192 2292 3244 3416
Inf 1136 2498 2980 2866
656 1414 2986 4034 3410
Inf Inf 2062 3316 4174
Inf Inf 2162 2370 2770
Inf Inf Inf 2780 2772
Inf Inf 2572 4132 3408
770 Inf 3036 2980 3356
Inf Inf 2450 2296 3292
Inf 1430 2116 3700 4630
Inf 1650 2278 2794 2774
720 Inf Inf 2782 2784
780 1144 2190 3584 3148
828 1450 3148 4252 4414
Inf 1340 2088 2544 2836
Inf Inf 3210 4006 3840
840 1466 2162 Inf 3004
772 1560 1964 2200 Inf
982 1238 2172 2474 2996
856 1500 2102 4242 3810
Inf 1220 Inf Inf 2768
722 Inf 2170 3724 3278
Inf Inf 1882 2630 2432
Inf 1678 2166 2822 3060
708 1188 2928 2816 2450
770 1210 2000 4158 4096
Inf Inf 2128 2704 3222
770 Inf Inf Inf 3262
798 Inf Inf Inf 3062
Inf 1266 2160 3012 2306
840 1468 Inf 2432 2636
Inf Inf 2326 2964 4552
Inf 1632 2002 2142 3226
760 1148 2962 Inf 2668
764 1366 1968 4002 2950
708 1344 2876 3134 2742
Inf Inf 2324 3322 3596
Inf Inf 2234 3206 3434
706 1388 1992 2818 4928
Inf Inf 2048 2210 2724
Inf Inf Inf 3354 Inf
818 1318 Inf 2772 2820
698 1718 2564 2944 4636
Inf 1456 2550 2770 Inf
674 1294 2288 2324 4208
Inf Inf Inf 3460 2654
Inf 1728 2144 2316 Inf
Inf 1218 2198 11544 2772
Inf Inf 2484 2788 3128
Inf 1628 2466 2686 3200
Inf 1408 2428 2326 2316
Inf 1154 1990 2494 3950
Inf 1688 Inf 2592 2540
Inf 1820 2124 2980 5432
Inf 1252 2284 3026 2664
1206 1486 1982 3080 4544
Inf 1534 Inf 2508 3258
Inf 1340 2480 2810 3780
Inf 1594 2012 2542 3986
598 2040 1980 2470 3872
Inf Inf 2216 Inf 3362
Inf Inf 2334 3824 2624
828 974 2262 2394 2708
802 Inf 1850 2990 2376
Inf 1442 2410 2758 3932
