q_0.0001 q_0.1 q_0.3 q_0.5 q_0.9
492 674 942 1528 1426
Inf Inf 886 852 1182
Inf 704 962 1176 1530
474 Inf 1552 980 1484
476 626 934 1146 1796
486 612 1034 1176 1944
466 Inf 890 1154 1302
Inf 688 986 1158 1338
458 772 1048 1308 1568
488 660 1018 1344 1266
556 Inf Inf 1160 1394
Inf 698 1422 1368 1480
Inf 750 1060 1480 1360
Inf 826 966 1048 1502
Inf 690 1014 1548 4622
Inf 796 Inf 1388 1372
Inf Inf 942 1596 1366
Inf 710 1092 1454 1650
Inf 732 Inf 1314 1334
480 676 858 1126 1298
Inf 652 1532 1274 1390
Inf 616 960 1346 1428
492 622 1536 1394 1682
Inf 794 864 1454 1624
Inf Inf 956 1210 1512
Inf 646 Inf 1622 1366
Inf 766 1102 1294 1290
Inf 716 1080 1186 Inf
480 712 908 1328 1608
536 666 Inf 1264 Inf
516 730 832 1142 1318
552 Inf Inf 1252 1244
Inf 844 1048 1166 1450
498 Inf 1416 1168 1418
Inf 828 1138 1170 1572
Inf 694 Inf 1266 1192
Inf 812 1110 1304 1270
552 712 1034 1546 1546
458 654 918 1252 1438
Inf 560 1002 1112 Inf
410 716 1050 1396 1302
514 696 1250 1284 1712
466 1086 1096 1158 1288
Inf 740 966 1150 Inf
Inf 804 962 990 1530
486 Inf 1050 1138 1768
Inf 540 1024 1268 1514
Inf Inf 1014 Inf 1574
Inf 610 1236 1222 1294
480 890 722 Inf 1492
Inf Inf 1086 1604 1148
504 956 1082 Inf 1116
Inf 810 968 1502 1322
Inf 834 858 1250 1464
Inf 902 906 1178 1860
462 1120 1040 1302 1888
Inf Inf 940 1090 1390
Inf 844 1074 1006 1420
Inf 706 1086 1120 1184
514 806 984 1232 904
500 646 984 1278 1530
420 Inf 1146 1380 1226
Inf 672 1864 1568 1436
Inf 712 908 Inf 1744
470 Inf 958 1498 1154
Inf 750 1144 1406 1438
Inf 744 1154 Inf 1466
Inf Inf 1078 1358 1468
Inf 926 1002 1118 2034
Inf 660 2544 1414 1306
Inf Inf 1028 1230 1446
464 660 852 1416 1612
506 Inf 1114 1146 1314
454 956 1116 1404 1818
482 702 1138 1278 1948
Inf 672 1028 1206 1348
462 722 888 1192 1364
426 720 1444 1148 1320
Inf 734 1142 1990 Inf
Inf Inf 850 1664 1314
Inf Inf 1046 1198 1508
