pl dp sp el cg tb rel rcg rtb rn
172 168 1508 8630 4678 2454 15412 5396 2758 7952
160 140 1430 11676 6774 2754 12148 4684 2642 7978
174 174 1530 13762 6370 2478 9510 6486 2494 Inf
184 176 1492 9204 6804 2342 11424 4140 2854 7608
156 164 1418 10920 5408 2364 11220 4898 2958 9132
176 168 1442 13176 5942 2378 12344 5610 2522 8908
182 170 1568 11298 5046 2666 11572 4430 2646 7140
202 178 1546 18212 5254 2576 11232 4304 2420 7890
172 170 1546 16890 4678 2676 13088 5240 2444 8046
188 178 1558 11994 5414 2764 12658 5030 2358 4340
154 172 1580 10400 4364 2502 10670 4846 2286 8580
164 164 1554 10950 5488 2600 12632 5956 2416 7574
190 180 1602 10416 6518 2496 13774 5088 2408 7944
186 194 1560 11486 5598 2704 14588 5292 2382 Inf
166 170 1440 14030 4330 2452 9360 5866 2576 10140
202 196 1608 12842 4376 2780 13502 4348 2474 Inf
180 150 1640 11198 4934 2366 15510 5612 2272 7832
182 166 1472 11888 6076 2610 15888 5420 2584 6964
166 148 1554 12866 4754 2704 13080 6244 2734 6472
170 190 1440 11766 7366 2558 14320 6728 2816 8106
