sm b2 r2 r5 gp mg gr10 s45 rc es z2 dj h34 s47 s410 z5 h64
798 616 494 1960 370 376 1396 936 760 620 344 420 324 674 556 790 712
742 448 1020 2344 402 344 Inf 732 660 738 284 468 242 716 750 732 700
682 580 880 2678 382 316 1596 Inf 704 814 302 430 298 788 726 824 774
776 522 970 2550 380 320 Inf 740 548 638 260 488 314 614 Inf 724 752
822 590 1184 2416 354 358 Inf Inf 424 708 306 412 322 988 Inf 710 794
764 518 564 2202 436 400 1368 Inf 1390 660 300 422 350 670 Inf 726 760
806 574 638 2292 418 284 Inf 1024 610 674 352 442 334 752 736 808 660
870 518 742 3288 358 348 Inf 650 780 786 274 380 348 Inf Inf 730 738
678 590 830 2846 362 234 Inf Inf 880 576 352 378 338 Inf Inf 740 686
852 532 796 2716 342 374 Inf Inf 538 676 282 428 394 888 668 822 688
892 502 632 2546 434 382 1338 712 488 682 382 382 318 696 Inf 544 732
802 606 696 2740 350 380 Inf Inf 810 552 328 426 338 736 718 674 744
810 548 810 3688 404 368 Inf 754 840 726 324 330 316 676 878 876 674
742 452 900 1402 336 340 1356 Inf 694 662 318 416 436 686 696 796 664
850 518 862 2830 434 470 1246 762 558 982 224 444 356 740 706 768 724
764 504 1024 2940 322 322 1704 Inf 414 738 338 326 412 680 610 684 744
732 444 766 2528 376 342 1364 1106 752 650 348 354 396 762 804 758 752
904 542 778 2096 396 346 1338 548 4012 940 270 356 330 654 688 712 618
806 490 660 2226 438 388 Inf 676 3566 662 294 360 310 606 624 700 846
760 588 970 2230 314 370 1294 Inf 406 706 206 444 366 580 848 676 756
832 484 748 2532 410 374 Inf 670 762 604 316 478 392 814 662 742 776
708 560 734 2852 328 428 1018 674 478 1118 292 426 360 Inf Inf 666 758
698 568 652 3302 384 314 Inf Inf 504 726 280 428 398 592 626 700 746
764 562 590 2192 398 290 Inf Inf 452 586 310 430 322 724 592 800 816
868 518 1530 2750 406 344 1378 Inf 1364 1374 290 444 316 990 674 800 814
732 566 1136 2728 364 366 1360 696 558 726 326 346 390 Inf 714 716 562
686 548 680 1596 360 326 1386 934 444 874 266 460 294 802 734 722 794
776 514 986 2304 434 402 Inf 1110 458 568 340 382 384 778 820 734 718
734 494 768 2262 316 356 1424 Inf 778 580 228 420 278 744 700 786 702
768 520 1020 1406 418 382 1974 Inf 1060 1208 244 540 334 658 Inf 770 494
740 478 994 2336 394 404 Inf 888 428 690 318 448 270 638 610 834 670
852 588 928 2670 424 386 Inf Inf 1126 902 324 426 350 Inf Inf 686 972
774 674 664 2244 356 376 Inf 854 980 710 298 438 302 786 808 660 750
806 548 780 2270 318 250 1354 1076 582 802 274 422 384 932 550 710 766
832 584 1062 2758 368 408 Inf 1064 1228 720 274 386 334 Inf 862 764 666
694 572 626 2924 404 316 1724 702 798 676 314 460 324 Inf 724 654 624
788 518 582 3152 398 362 1312 Inf 634 570 178 356 362 Inf 750 704 600
712 594 886 2620 444 262 Inf 786 712 790 236 372 446 1842 738 734 686
804 584 878 3038 358 380 1100 Inf 794 682 318 336 364 848 700 718 648
824 560 584 2148 362 262 Inf 674 1880 672 320 420 366 698 1336 776 886
832 602 616 2182 420 328 Inf Inf 566 770 276 362 366 740 734 766 812
856 490 838 2766 350 314 Inf Inf 400 752 286 362 370 704 764 690 648
794 508 816 3190 508 198 Inf Inf 612 790 310 456 340 754 750 732 610
754 498 852 2602 316 348 1326 688 4174 678 304 400 296 784 652 700 772
814 500 892 2242 434 384 1718 870 402 656 316 298 328 1290 Inf 592 864
716 596 670 2590 438 390 1576 1052 830 620 344 458 382 644 716 836 748
764 576 868 2458 384 336 1202 Inf 1108 1560 286 418 298 724 622 646 694
708 506 1046 Inf 392 344 1214 754 506 706 276 442 256 598 796 700 788
702 552 520 2426 404 274 1738 Inf 744 770 240 352 374 788 720 652 724
698 538 764 2514 296 362 1344 730 446 1008 336 394 312 762 770 656 610
714 568 650 2826 408 310 1392 632 580 610 324 436 330 656 728 648 816
842 584 954 2374 412 372 1402 Inf 542 804 310 374 352 Inf Inf 782 672
820 354 714 2398 316 344 1410 754 892 650 348 442 334 584 756 774 742
878 442 1152 2268 450 264 Inf 722 562 728 308 396 332 790 Inf 784 774
866 562 1196 2572 318 378 1294 758 1748 526 242 366 334 628 660 700 750
666 452 670 2502 338 354 Inf Inf 864 820 366 412 330 752 Inf 726 620
834 588 774 2274 350 250 1388 696 418 Inf 288 356 250 Inf 878 642 784
806 620 862 2452 404 352 Inf Inf 458 666 250 454 332 Inf Inf 790 618
760 618 886 2802 372 358 1612 1222 602 838 386 428 306 696 784 720 706
776 564 744 2366 452 296 Inf 708 1296 586 236 442 412 762 Inf 698 732
758 574 516 2598 388 358 1620 824 462 868 278 416 250 870 840 744 712
824 518 670 2104 416 404 Inf 924 826 750 316 438 344 618 660 752 670
760 604 738 2442 418 308 1634 734 440 Inf 330 364 320 704 802 700 828
784 548 736 2098 348 324 1582 Inf 536 658 216 480 364 820 780 684 696
688 512 600 3074 392 412 1398 980 674 714 348 374 346 838 738 622 730
780 612 810 Inf 362 322 Inf 634 554 822 296 382 288 708 720 830 668
708 608 760 2046 418 372 1094 808 316 2622 318 456 280 814 680 694 772
864 534 900 2134 360 368 1286 Inf 528 974 262 374 334 604 Inf 812 634
832 630 802 1918 414 286 990 Inf 442 816 300 436 328 Inf 720 620 588
826 606 952 2342 468 362 1420 Inf 2100 562 362 454 358 Inf 740 694 940
896 546 1118 2248 334 350 1482 Inf 876 572 200 404 332 608 812 860 636
778 506 946 2864 402 398 952 Inf 1288 796 306 312 382 640 702 776 604
698 530 1006 2212 488 396 1256 Inf 492 664 326 460 370 Inf 792 882 756
756 478 1016 3122 346 268 1264 902 720 674 286 398 358 618 854 792 788
880 538 892 2660 410 364 Inf 636 712 860 242 386 376 794 722 780 752
796 544 1078 2542 408 352 1688 740 856 722 318 378 286 810 684 766 772
740 430 748 2420 412 336 1346 658 1140 696 268 324 360 798 668 796 616
806 562 818 1958 426 338 1284 Inf 964 784 318 336 384 Inf 612 606 622
768 592 944 2502 456 316 Inf 804 366 706 262 428 400 776 834 706 646
838 526 662 1926 390 402 1414 Inf 626 772 358 400 306 Inf Inf 702 796
676 626 1000 3152 330 316 Inf 556 622 652 300 444 378 620 674 686 656
724 530 700 2328 424 352 1334 734 634 546 256 382 370 666 676 702 690
720 540 910 2034 336 356 Inf 792 502 686 338 370 310 912 742 710 622
766 410 874 2298 440 256 1106 680 378 732 270 442 302 780 594 742 806
838 540 776 2638 406 344 Inf Inf 2378 746 348 400 378 634 Inf 676 742
876 600 818 2954 368 368 1372 798 1262 680 256 416 344 Inf 732 726 704
842 442 842 2576 306 374 1442 Inf 442 704 330 462 326 894 636 696 760
874 606 962 3158 274 304 1400 Inf 1060 656 260 438 372 878 606 706 764
838 572 780 2028 452 362 1258 Inf 430 640 302 424 338 654 752 776 632
660 552 814 2972 356 316 Inf Inf 884 644 330 386 342 628 736 728 574
718 550 672 2690 392 314 Inf 614 1128 934 236 422 302 Inf 616 688 726
850 602 854 1974 368 388 Inf Inf 614 704 314 360 446 760 678 618 796
832 656 742 2312 308 382 1654 Inf 508 884 236 406 424 610 752 764 786
802 494 464 2420 310 400 1758 706 824 694 322 456 314 Inf 1300 748 690
706 392 674 2238 420 248 1298 824 710 956 168 396 384 Inf 746 638 756
720 604 604 Inf 388 366 Inf 720 546 1548 272 352 282 Inf 802 670 806
772 522 776 2082 364 356 1316 Inf 672 648 352 384 406 682 760 662 624
786 584 854 2750 350 368 Inf 570 808 666 310 340 324 732 756 762 806
710 534 758 2826 328 346 1252 850 668 712 290 396 376 882 580 676 860
810 568 858 2204 378 352 1250 Inf 1828 864 266 408 258 736 Inf 784 686
